day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes
29,6,2012,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0
3,6,2012,29,80,14,2,48.7,2.2,7.6,0.3,2.6,0.1,0
3,9,2012,28,75,16,0,82.2,4.4,24.3,3.3,6,2.5,1
25,6,2012,31,64,15,0,86.7,14.2,63.8,5.7,18.3,8.4,1
15,6,2012,28,80,17,3.1,49.4,3,7.4,0.4,3,0.1,0
16,9,2012,30,65,14,0,78.1,3.2,15.7,1.9,4.2,0.8,0
9,9,2012,30,77,15,1,56.1,2.1,8.4,0.7,2.6,0.2,0
27,6,2012,36,55,15,0,89.1,20.9,43.3,8,20.8,12,1
4,6,2012,30,64,14,0,79.4,5.2,15.4,2.2,5.6,1,0
24,7,2012,33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,0
30,7,2012,36,56,16,0,88.9,23.8,57.1,8.2,23.8,13.2,1
29,9,2012,24,54,18,0.1,79.7,4.3,15.2,1.7,5.1,0.7,0
8,7,2012,33,68,19,0,85.6,12.5,49.8,6,15.4,8,1
10,6,2012,28,79,12,0,73.2,9.5,46.3,1.3,12.6,0.9,0
13,8,2012,35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1
30,8,2012,34,49,15,0,89.2,24.8,159.1,8.1,35.7,16,1
30,7,2012,31,79,15,0,85.4,28.5,136,4.7,37.4,10.7,1
2,7,2012,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0
23,6,2012,33,59,16,0.8,74.2,7,8.3,1.6,6.7,0.8,0
6,8,2012,30,54,14,3.1,70.5,11,9.1,1.3,10.5,0.8,0
17,8,2012,42,24,9,0,96,30.3,76.4,15.7,30.4,24,1
18,6,2012,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,0
18,8,2012,36,54,18,0,89.4,20,110.9,9.7,27.5,16.1,1
12,8,2012,39,21,17,0.4,93,18.4,41.5,15.5,18.4,18.8,1
22,8,2012,36,55,18,0,89.1,33.5,151.3,9.9,43.1,20.4,1
15,8,2012,35,46,13,0.3,83.9,16.9,54.2,3.5,19,5.5,1
9,6,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0
27,8,2012,33,82,21,0,84.9,47,200.2,4.4,59.3,13.2,1
28,8,2012,34,64,16,0,89.4,50.2,210.4,7.3,62.9,19.9,1
14,6,2012,30,78,20,0.5,59,4.6,7.8,1,4.4,0.4,0
13,8,2012,35,63,15,0,87,19,85.1,5.9,24.4,10.2,1
26,9,2012,30,65,14,0,85.4,16,44.5,4.5,16.9,6.5,1
3,9,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0,0
24,8,2012,35,38,15,0,92.1,51.3,147.7,12.2,54.9,26.9,1
4,9,2012,30,66,15,0.2,73.5,4.1,26.6,1.5,6,0.7,0
15,8,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,22,6.3,1
10,6,2012,30,41,15,0,89.4,13.3,22.5,8.4,13.1,10,1
19,6,2012,31,55,16,0.1,79.9,4.5,16,2.5,5.3,1.4,0
29,9,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,3,0.1,0
7,8,2012,34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,0
14,9,2012,28,81,15,0,84.6,12.6,41.5,4.3,14.3,5.7,1
9,8,2012,35,59,17,0,87.4,14.8,57,6.9,17.9,9.9,1
9,7,2012,32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0
3,8,2012,39,33,17,0,93.7,17.1,32.1,17.2,16.9,19.5,1
28,9,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0
12,7,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0
20,9,2012,34,58,13,0.2,79.5,18.7,88,2.1,24.4,3.8,0
26,6,2012,31,64,18,0,86.8,17.8,71.8,6.7,21.6,10.6,1
15,6,2012,28,90,15,0,66.8,7.2,14.7,1.2,7.1,0.6,0
27,9,2012,31,66,11,0,85.7,8.3,24.9,4,9,4.1,1
29,8,2012,35,48,18,0,90.1,54.2,220.4,12.5,67.4,30.2,1
30,8,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,0
20,7,2012,33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4,1
19,7,2012,34,58,16,0,88.1,27.8,61.1,7.3,27.7,13,1
9,7,2012,36,43,15,1.9,82.3,9.4,9.9,3.2,9,3.1,1
1,9,2012,29,86,16,0,37.9,0.9,8.2,0.1,1.4,0,0
12,6,2012,26,81,19,0,84,13.8,61.4,4.8,17.7,7.1,1
16,6,2012,29,87,15,0.4,47.4,4.2,8,0.2,4.1,0.1,0
7,6,2012,35,44,17,0.2,85.6,9.9,28.9,5.4,10.7,6,1
11,7,2012,33,76,14,0,81.1,8.1,18.7,2.6,8.1,2.2,0
17,8,2012,37,52,18,0,89.3,16,100.7,9.7,22.9,14.6,1
23,7,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,0
11,6,2012,31,42,21,0,90.6,18.2,30.5,13.4,18,16.7,1
2,8,2012,40,34,14,0,93.3,10.8,21.4,13.8,10.6,13.5,1
25,9,2012,26,81,21,5.8,48.6,3,7.7,0.4,3,0.1,0
28,7,2012,33,76,15,0,86.5,24.4,117.8,5.6,32.1,11.3,1
24,6,2012,32,66,17,0,85.9,11.2,55.8,5.6,14.9,7.5,1
29,7,2012,34,59,16,0,,19.5,47.2,7.4,19.5,10.9,1
20,6,2012,31,72,14,0.2,60.2,3.8,8,0.8,3.7,0.3,0
23,6,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,1
9,6,2012,27,59,18,0.1,78.1,8.5,14.7,2.4,8.3,1.9,0
16,6,2012,29,89,13,0.7,36.1,1.7,7.6,0,2.2,0,0
7,8,2012,32,69,16,0,86.5,15.5,48.6,5.5,17.2,8,1
26,6,2012,36,62,16,0,87.8,16.5,34.5,7,16.4,9.5,1
17,6,2012,30,89,16,0.6,37.3,1.1,7.8,0,1.6,0,0
4,8,2012,38,35,15,0,93.8,23,42.7,15.7,22.9,20.9,1
20,6,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0
28,7,2012,33,57,16,0,87.5,15.7,37.6,6.7,15.7,9,1
26,9,2012,31,54,11,0,82,6,16.3,2.5,6.2,1.7,0
19,8,2012,35,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7,1
14,7,2012,37,37,18,0.2,88.9,12.9,14.6,12.5,10.4,1,1
13,9,2012,29,49,19,0,88.6,11.5,33.4,9.1,12.4,10.3,1
3,7,2012,32,76,20,0.7,63.1,2.6,9.2,1.3,3,0.5,0
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0,1.7,0,0
17,7,2012,29,70,14,0,82.8,9.4,34.1,3.2,11.1,3.6,1
22,9,2012,31,50,19,0.6,77.8,10.6,41.4,2.4,12.9,2.8,0
19,9,2012,29,57,14,0,89.3,12.5,41.3,7.8,14.2,9.7,1
11,6,2012,31,65,14,0,84.5,12.5,54.3,4,15.8,5.6,1
22,7,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0
29,7,2012,32,73,15,0,86.6,26.7,127,5.6,35,11.9,1
24,9,2012,29,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,0
23,9,2012,35,56,14,0,89,29.4,115.6,7.5,36,15.2,1
18,6,2012,31,78,14,0.3,56.9,1.9,8,0.7,2.4,0.2,0
23,7,2012,31,71,17,0,87.3,46.6,99,6.9,46.5,16.3,1
8,6,2012,30,73,15,0,86.6,12.1,38.3,5.6,13.5,7.1,1
21,6,2012,30,78,14,0,81,6.3,31.6,2.6,8.4,2.2,1
26,7,2012,36,53,19,0,89.2,17.1,98.6,10,23.9,15.3,1
4,7,2012,33,78,17,0,80.1,4.6,18.5,2.7,5.7,1.7,0
5,9,2012,30,58,12,4.1,66.1,4,8.4,1,3.9,0.4,0
27,7,2012,36,48,13,0,90.3,22.2,108.5,8.7,29.4,15.3,1
1,6,2012,29,57,18,0,65.7,3.4,7.6,1.3,3.4,0.5,0
18,7,2012,33,68,15,0,86.1,23.9,51.6,5.2,23.9,9.1,1
6,9,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,0
20,8,2012,35,68,19,0,88.3,25.9,130.6,8.8,34.7,16.8,1
22,7,2012,32,48,18,0,91.5,44.2,90.1,13.2,44,25.4,1
21,9,2012,35,34,17,0,92.2,23.6,97.3,13.8,29.4,21.6,1
3,6,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0
23,8,2012,36,53,16,0,89.5,37.6,161.5,10.4,47.5,22.3,1
22,6,2012,33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,0
8,9,2012,30,73,17,0.9,62,2.6,8.4,1.1,3,0.4,0
28,8,2012,35,56,14,0.4,79.2,37,166,2.1,30.6,6.1,0
19,8,2012,35,62,19,0,89.4,23.2,120.9,9.7,31.3,17.2,1
12,7,2012,36,44,13,0,90.1,12.6,19.4,8.3,12.5,9.6,1
16,7,2012,28,76,21,0,72.6,7,25.5,0.7,8.3,0.4,0
6,8,2012,32,75,14,0,86.4,13,39.1,5.2,14.2,6.8,1
13,7,2012,39,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1
21,9,2012,31,55,11,0,87.8,16.5,57.9,5.4,19.2,8.3,1
25,9,2012,28,70,15,0,79.9,13.8,36.1,2.4,14.1,3,0
18,9,2012,32,49,11,0,89.4,9.8,33.1,6.8,11.3,7.7,1
31,7,2012,35,64,17,0,87.2,31.9,145.7,6.8,41.2,15.7,1
27,9,2012,28,87,15,4.4,41.1,6.5,8,0.1,6.2,0,0
28,9,2012,27,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,0
5,6,2012,32,60,14,0.2,77.1,6,17.6,1.8,6.5,0.9,0
8,8,2012,37,56,11,0,87.4,11.2,20.2,5.2,11,5.9,1
14,9,2012,22,76,26,8.3,47.4,1.1,7,0.4,1.6,0.1,0
27,7,2012,29,87,18,0,80,11.8,28.3,2.8,11.8,3.2,0
19,6,2012,32,67,14,4.5,64.6,4.4,8.2,1,4.2,0.4,0
9,9,2012,30,80,15,0,83.1,7.9,34.5,3.5,10,3.7,1
21,6,2012,32,55,14,0,86.2,8.3,18.4,5,8.2,4.9,1
18,9,2012,36,33,13,0.1,90.6,25.8,77.8,9,28.2,15.4,1
3,7,2012,34,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,1
25,7,2012,31,65,18,0,84.3,12.5,88.7,4.8,18.5,7.3,1
23,8,2012,36,43,16,0,91.2,46.1,137.7,11.5,50.2,24.5,1
22,8,2012,37,53,14,0,89.5,41.1,127.5,8,45.5,18.1,1
10,9,2012,29,74,15,1.1,59.5,4.7,8.2,0.8,4.6,0.3,0
7,7,2012,38,43,13,0.5,85,13,35.4,4.1,13.7,5.2,1
11,8,2012,35,63,13,0,88.9,21.7,77,7.1,25.5,12.1,1
14,8,2012,37,40,13,0,91.9,22.3,55.5,10.8,22.3,15.7,1
8,7,2012,35,47,18,6,80.8,9.8,9.7,3.1,9.4,3,1
14,6,2012,27,79,16,0.7,53.4,6.4,7.3,0.5,6.1,0.3,0
2,9,2012,28,67,19,0,75.4,2.9,16.3,2,4,0.8,0
3,8,2012,35,63,14,0.3,76.6,5.7,10,1.7,5.5,0.8,0
12,9,2012,31,72,14,0,84.2,8.3,25.2,3.8,9.1,3.9,1
11,9,2012,30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,0
7,7,2012,35,64,18,0.2,80,9.7,40.4,2.8,12.1,3.2,0
27,8,2012,36,54,14,0,91,65.9,177.3,10,68,26.1,1
21,7,2012,33,70,17,0,85.4,18.5,71.5,5.2,22.4,8.8,1
31,8,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,0
21,8,2012,36,58,19,0,88.6,29.6,141.1,9.2,38.8,18.4,1
17,9,2012,31,52,14,0,87.7,6.4,24.3,6.2,7.7,5.9,1
15,7,2012,30,80,19,0.4,60.7,5.2,17,1.1,5.9,0.5,0
30,6,2012,33,50,14,0,88.7,22.9,92.8,7.2,28.3,12.9,1
26,7,2012,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1,0
15,7,2012,34,45,17,0,90.5,18,24.1,10.9,17.7,14.1,1
21,7,2012,36,29,18,0,93.9,39.6,80.6,18.5,39.5,30,1
13,6,2012,27,84,21,1.2,50,6.7,17,0.5,6.7,0.2,0
14,8,2012,33,66,14,0,87,21.7,94.7,5.7,27.2,10.6,1
4,8,2012,34,69,13,0,85,8.2,19.8,4,8.2,3.9,1
25,8,2012,34,40,18,0,92.1,56.3,157.5,14.3,59.5,31.1,1
24,8,2012,34,64,14,0,88.9,40.5,171.3,9,50.9,20.9,1
5,7,2012,34,45,18,0,90.5,18.7,46.4,11.3,18.7,15,1
15,9,2012,24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0,0
1,7,2012,29,68,19,1,59.9,2.5,8.6,1.1,2.9,0.4,0
30,6,2012,34,42,15,1.7,79.7,12,8.5,2.2,11.5,2.2,0
16,8,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,1
10,8,2012,39,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1
4,7,2012,34,58,18,0,88,13.6,36.8,8,14.1,9.9,1
14,7,2012,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,0
28,6,2012,37,37,13,0,92.5,27.2,52.4,11.7,27.1,18.4,1
16,7,2012,32,77,15,0,81.3,10.8,36.9,2.8,12.4,3.3,0
19,6,2012,31,73,14,0.2,59.4,3.3,8,0.8,3.4,0.3,0
3,9,2012,29,66,15,0.2,73.9,3.9,24.7,1.6,5.6,0.7,0
8,7,2012,34,60,13,2.9,71.2,7.2,9.7,1.3,6.9,0.7,0
1,9,2012,26,80,16,4,42.4,1.1,7.8,0.2,1.6,0.1,0
20,8,2012,31,51,18,0.6,77.3,10.2,38.9,2.3,12.3,2.5,0
10,8,2012,29,77,15,0.9,55.4,3.3,8.1,0.6,3.6,0.2,0
14,6,2012,28,78,17,0.6,55.6,5.7,7.5,0.7,5.4,0.3,0
12,7,2012,34,78,15,0,81.6,9.7,37.6,3,11.8,3.4,0
8,6,2012,30,73,14,0.1,75.5,9.6,44.3,1.8,12.4,1.7,0
8,8,2012,30,71,16,1,63,3.7,8.6,1.1,4,0.4,0
26,8,2012,32,50,14,0.7,76.7,7.1,8.7,1.7,6.8,0.9,0
3,9,2012,29,66,16,0.1,74.1,3.7,23.4,1.7,5.4,0.7,0
9,7,2012,34,56,14,2.5,75,6.9,9.6,1.6,6.6,0.8,0
14,7,2012,34,53,13,0.5,79.4,16.8,71,2.3,20.9,3.8,0
9,9,2012,30,77,16,1.1,56.5,2.1,8.4,0.8,2.6,0.2,0
11,7,2012,32,76,15,0,79.7,7.9,19.8,2.3,8.1,1.9,0
13,6,2012,28,81,20,0.9,53.8,5.8,13.1,0.7,5.7,0.3,0
14,6,2012,29,78,19,0.5,57.6,5,7.7,0.9,4.8,0.4,0
16,6,2012,29,79,15,1.9,52.7,2.5,7.7,0.5,2.7,0.1,0
23,7,2012,32,61,17,1,73.5,19.5,54.5,1.7,20.5,2.5,0
13,6,2012,28,79,16,2.5,51.2,2.8,7.7,0.5,2.9,0.1,0
17,8,2012,34,55,13,0.2,80.1,17.6,83.5,2.2,23.1,3.9,0
28,8,2012,35,60,15,0.5,77,33.1,170.8,2,32.9,5.5,0
11,8,2012,30,73,14,0,79.2,6.5,16.6,2.1,6.6,1.2,0
14,6,2012,27,79,15,0.7,52.7,6.2,7.4,0.5,5.9,0.3,0
16,6,2012,29,89,14,0.6,36.8,1.4,7.7,0,1.9,0,0
1,7,2012,29,68,18,1,60,2.5,8.6,1.1,2.9,0.4,0
16,6,2012,30,78,16,0.4,57.7,2.9,7.9,0.8,3.1,0.3,0
4,6,2012,30,62,14,0.1,78.8,5.4,16,2.1,5.9,1,0
11,6,2012,27,60,16,0.1,78.1,6.9,15,2.2,7.1,1.6,0
21,7,2012,30,63,15,4,67.1,5.1,12.3,1.2,5.2,0.6,0
15,6,2012,29,56,16,0.1,79.2,6,15.5,2.5,6.5,1.6,0
8,9,2012,30,73,17,1,61.5,2.5,8.4,1.1,2.9,0.4,0
11,7,2012,32,75,14,0,80.7,7.8,18.3,2.5,7.8,2,0
7,8,2012,29,72,17,0.9,61.8,2.6,8.4,1.1,3,0.4,0
14,8,2012,29,64,14,0,78.1,4,15.6,2,4.8,1,0
9,6,2012,27,81,12,0.1,67.4,9,44.1,1,12,0.7,0
16,6,2012,29,88,16,0.8,38,1.2,7.8,0,1.7,0,0
1,6,2012,29,57,18,0,65.5,3.4,7.6,1.3,3.4,0.5,0
16,6,2012,29,88,15,0.6,38.7,1.5,7.8,0,2,0,0
23,6,2012,33,45,14,1.2,78.5,8.8,8.3,2,8.4,1.4,0
1,7,2012,28,60,18,1.9,62.6,3,8.5,1.2,3.2,0.5,0
3,6,2012,29,64,14,0,78.7,4.8,15.6,2.2,5.3,1,0
1,6,2012,28,57,18,1.6,64.3,3.3,8.2,1.2,3.3,0.5,0
1,9,2012,28,85,16,0.3,38.2,0.9,8.2,0.1,1.4,0,0
19,8,2012,34,57,13,0.2,79.5,18.7,88,2.1,24.4,3.8,0
5,8,2012,30,58,12,3.9,66.8,4.6,8.7,1,4.5,0.4,0
15,8,2012,29,64,14,0,78.1,3.7,15.6,1.9,4.6,0.9,0
2,8,2012,34,63,14,0.3,76.5,5.5,10.4,1.7,5.4,0.8,0
12,6,2012,28,83,16,0.3,57.6,6.3,25.6,0.8,7.7,0.4,0
2,8,2012,28,67,18,0,75.6,3,16.4,2,4.1,0.8,0
11,6,2012,27,60,16,0.1,78.1,7,15,2.3,7.1,1.6,0
18,7,2012,28,74,19,0,75,9.2,28.9,1.3,10.2,1.2,0
24,8,2012,32,64,15,0.8,70,7.4,15.4,1.4,7.6,0.7,0
28,9,2012,26,51,16,0.3,79,5.2,13.1,1.7,5.7,0.8,0
19,6,2012,31,54,15,0.1,80.1,4.6,16,2.5,5.4,1.4,0
26,9,2012,27,85,16,4.7,42.7,5.8,7.9,0.2,5.5,0,0
16,7,2012,32,62,15,0.2,77.9,15.9,77.2,2.2,21.1,3.6,0
28,9,2012,26,85,27,0.7,46.1,3.4,7.9,0.4,3.3,0.2,0
24,7,2012,26,54,17,0.1,79.8,4.4,15.5,2,5.2,1,0
22,6,2012,32,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,0
6,8,2012,32,61,12,3.2,68.7,6.3,9.4,1.1,6.1,0.5,0
7,8,2012,29,73,14,2,58.3,4.1,8.1,0.7,4.1,0.3,0
20,7,2012,28,76,17,0.1,74.2,16.3,79.4,1.9,21.6,2.9,0
2,9,2012,25,78,15,3.5,42.2,1.2,7.6,0.1,1.7,0,0
14,6,2012,30,76,13,0.2,71.2,6.7,27.5,1.3,8.2,0.8,0
15,6,2012,28,88,13,0.7,36.2,1.7,7.6,0,2.2,0,0
3,8,2012,29,58,13,3.6,65.5,3.8,8.4,1.1,3.7,0.4,0
5,8,2012,31,59,12,3.7,67.4,5.2,8.9,1.1,5,0.5,0
15,6,2012,28,79,16,2.4,51.4,2.7,7.6,0.5,2.8,0.1,0
4,6,2012,31,61,14,0.1,78.1,5.7,16.7,2,6.1,0.9,0
13,7,2012,28,62,15,0,78.1,5.1,15.3,2.1,5.6,1.2,0
5,8,2012,28,73,17,1,59,2.5,8.4,1,2.9,0.4,0
13,7,2012,30,77,14,0.7,56.5,2,8.2,0.7,2.5,0.2,0
3,9,2012,29,66,15,0.2,73.8,3.9,24.7,1.6,5.6,0.7,0
11,7,2012,29,75,17,0.9,59.3,4.7,8,0.9,4.5,0.3,0
21,6,2012,32,47,14,1,78.5,7.6,9.4,2,7.4,1.2,0
21,7,2012,28,78,17,0.1,73.5,16.4,79.8,1.8,21.7,2.8,0
15,6,2012,31,72,14,0.1,76.6,7.6,32,1.8,9.4,1.4,0
26,7,2012,32,51,14,0.7,76.2,7.1,8.6,1.7,6.8,0.9,0
13,7,2012,33,53,14,0.3,78.9,14.7,74.4,2.4,19.7,3.8,0
25,8,2012,31,54,10,0,81.7,6.2,16.3,2.5,6.4,1.7,0
7,8,2012,30,76,20,1.3,60.4,2.2,8.7,1.2,2.7,0.4,0
20,8,2012,34,58,13,0.2,79.4,18.8,89.3,2.1,24.6,3.8,0
24,6,2012,33,56,15,0.9,75,7.8,8.3,1.7,7.4,1,0
25,7,2012,35,59,9,0.4,77.5,11,19,1.5,10.8,0.9,0
26,9,2012,27,85,16,4.7,42.7,5.7,7.9,0.2,5.5,0,0
22,6,2012,31,61,17,0.3,78.7,8.2,40.1,2.4,10.7,2.5,0
14,7,2012,25,80,15,0.5,48,2.9,7.3,0.3,3.1,0.1,0
17,7,2012,34,56,14,0.7,77.1,18.2,66,2.1,21.2,3.4,0
23,6,2012,32,59,16,0.8,73.9,6.9,8.6,1.6,6.7,0.8,0
18,6,2012,32,62,10,7.9,65.8,4.7,9,1,4.5,0.4,0
2,9,2012,24,76,17,7.3,46.1,1.3,7.4,0.2,1.8,0.1,0
17,6,2012,30,80,17,0.4,60.3,4.4,21.2,1,5.6,0.5,0
14,6,2012,28,78,17,0.6,56.1,5.5,7.5,0.7,5.3,0.3,0
23,8,2012,26,49,6,2,61.5,11.8,28,0.6,11.8,0.4,0
6,6,2012,24,80,23,11.6,47.2,2.1,7.1,0.3,2.4,0.1,0
3,9,2012,29,66,15,0.2,73.6,4,25.9,1.5,5.9,0.7,0
5,8,2012,30,56,12,3.7,67.8,6.7,8.7,1.1,6.4,0.6,0
11,9,2012,30,72,14,0,79.1,6.3,16.6,2.1,6.5,1.2,0
23,6,2012,34,60,14,0.9,74.1,8,10,1.5,7.7,0.8,0
8,6,2012,33,57,14,1.7,75.9,6.6,13.2,1.7,6.7,0.8,0
5,8,2012,31,60,12,3.5,67.9,5.6,9.1,1.1,5.4,0.5,0
27,8,2012,34,56,13,0.4,79.2,35.2,158.5,2.1,30,5.9,0
10,6,2012,28,79,12,0,74,9.5,45.5,1.5,12.5,1.1,0
29,8,2012,27,80,21,14.8,51.8,7.7,8.5,0.6,7.3,0.3,0
14,6,2012,29,80,19,0.5,58.9,5.5,17,1,6,0.4,0
9,6,2012,27,58,17,0.1,78.1,8.5,14.7,2.4,8.3,1.9,0
17,6,2012,29,74,14,0.4,57.6,4.8,7.7,0.7,4.6,0.3,0
26,8,2012,31,51,11,0.3,81.6,7,14.9,2.4,7.1,1.8,0
15,6,2012,28,83,15,1.6,48.3,3.7,7.7,0.3,3.6,0.1,0
11,6,2012,31,80,13,0,78.5,9.6,40.7,2.3,12.1,2.4,0
15,7,2012,28,76,20,0,72.8,7,25.4,0.7,8.3,0.4,0
16,9,2012,22,77,24,7.7,47.7,1.5,7.2,0.4,1.9,0.1,0
14,8,2012,35,53,13,0.4,80,17.1,91.5,2.4,23.3,4.2,0
10,6,2012,28,78,12,0,73.6,9.2,42.6,1.3,11.9,0.9,0
15,7,2012,26,85,14,0.5,41.1,1.2,7.4,0.1,1.7,0,0
7,6,2012,28,59,16,0.1,77.8,7.8,15.5,2.2,7.8,1.6,0
14,6,2012,30,78,18,0.5,58.5,4,7.8,0.9,3.9,0.4,0
12,6,2012,32,80,14,0,79,9.6,40.1,2.5,12,2.6,0
28,8,2012,26,80,16,1.9,47.5,2.9,7.7,0.3,3,0.1,0
2,6,2012,27,74,17,2.1,55.7,2.5,8.1,0.7,2.8,0.3,0
5,7,2012,31,76,20,1,61.7,2.4,9,1.2,2.8,0.4,0
7,8,2012,29,77,14,1.2,54.6,2.1,8.2,0.6,2.6,0.2,0
28,9,2012,28,49,15,0.5,78.4,6,11.4,1.8,6.1,0.8,0
3,7,2012,34,62,14,0.3,76.6,5.7,10.7,1.7,5.6,0.8,0
13,7,2012,30,75,15,0.1,74.5,7.7,27.1,1.3,9,0.8,0
15,6,2012,30,79,18,0.4,60.4,4.9,16.3,1.1,5.6,0.5,0
21,7,2012,31,54,14,0.1,80.7,5,16.1,2.5,5.6,1.5,0
29,6,2012,33,42,14,1.7,79.6,11.9,8.5,2.2,11.4,2.2,0
2,6,2012,27,76,17,1.4,53.6,2.3,8.1,0.7,2.7,0.2,0
15,6,2012,28,82,16,2.2,48.8,3.4,7.6,0.3,3.4,0.1,0
18,6,2012,30,80,17,0.4,60.2,4.1,23.1,1,5.4,0.4,0
25,9,2012,26,80,20,5,48.4,3,7.7,0.4,3,0.1,0
22,7,2012,28,64,20,0.4,70.4,12.1,74.6,1.9,17.2,2.4,0
15,6,2012,28,84,15,1.4,48.1,3.8,7.8,0.3,3.7,0.1,0
15,6,2012,32,67,14,3.5,65.3,5.5,8.5,1,5.3,0.5,0
11,8,2012,30,73,14,0,79.6,6.8,17.1,2.2,6.9,1.4,0
4,6,2012,32,60,14,0.2,77,5.9,16.3,1.8,6.3,0.9,0
8,9,2012,29,73,16,0.9,61.4,3.1,8.4,1,3.4,0.4,0
2,6,2012,28,77,16,1.6,52,2.3,7.9,0.5,2.7,0.2,0
12,7,2012,31,75,13,0.1,75.8,8.1,28.6,1.6,9.4,1.1,0
19,6,2012,27,82,20,2.3,48.3,3.2,7.6,0.4,3.1,0.1,0
